Simulation,Days,Duplicate Stars,Daily Cards,Room 1 Day,Room 2 Day,Room 3 Day,Room 4 Day,Room 5 Day,Room 6 Day
1,1,5,8,0,0,0,0,0,0
1,2,7,6,0,0,0,0,0,0
1,3,15,6,0,0,0,0,0,0
1,4,19,6,0,0,0,0,0,0
1,5,24,6,0,0,0,0,0,0
1,6,34,8,0,0,0,0,0,0
1,7,44,6,0,0,0,0,0,0
1,8,56,6,0,0,0,0,0,0
1,9,67,8,0,0,0,0,0,0
1,10,75,6,0,0,0,0,0,0
1,11,83,6,0,0,0,0,0,0
1,12,86,4,12,0,0,0,0,0
1,13,99,8,12,0,0,0,0,0
1,14,107,8,12,0,0,0,0,0
1,15,120,12,12,0,0,0,0,0
1,16,130,8,12,0,0,0,0,0
1,17,141,6,12,0,0,0,0,0
1,18,143,2,12,0,0,0,0,0
1,19,148,4,12,0,0,0,0,0
1,20,164,12,12,20,0,0,0,0
1,21,169,4,12,20,0,0,0,0
1,22,190,12,12,20,0,0,0,0
1,23,194,2,12,20,0,0,0,0
1,24,198,4,12,20,0,0,0,0
1,25,207,6,12,20,0,0,0,0
1,26,223,14,12,20,0,0,0,0
1,27,234,6,12,20,0,0,0,0
1,28,245,6,12,20,0,0,0,0
1,29,249,2,12,20,0,0,0,0
1,30,250,2,12,20,0,0,0,0
1,31,250,2,12,20,0,0,0,0
1,32,252,4,12,20,0,0,0,0
1,33,263,12,12,20,0,0,0,0
1,34,275,12,12,20,0,0,0,0
1,35,283,6,12,20,0,0,0,0
1,36,289,4,12,20,0,0,0,0
1,37,300,8,12,20,0,0,0,0
1,38,305,4,12,20,0,0,0,0
1,39,315,6,12,20,0,0,0,0
1,40,325,8,12,20,0,0,0,0
1,41,331,4,12,20,0,0,0,0
1,42,346,8,12,20,0,0,0,0
1,43,352,4,12,20,0,0,0,0
1,44,361,8,12,20,0,0,0,0
1,45,374,18,12,20,0,0,0,0
1,46,382,6,12,20,0,0,0,0
1,47,404,12,12,20,0,0,0,0
1,48,418,12,12,20,0,0,0,0
1,49,440,12,12,20,0,0,0,0
1,50,452,8,12,20,0,0,0,0
1,51,455,2,12,20,0,0,0,0
1,52,464,6,12,20,0,0,0,0
1,53,475,8,12,20,0,0,0,0
1,54,485,6,12,20,0,0,0,0
1,55,510,12,12,20,0,0,0,0
1,56,528,12,12,20,0,0,0,0
1,57,541,8,12,20,0,0,0,0
1,58,555,6,12,20,0,0,0,0
1,59,570,8,12,20,0,0,0,0
1,60,580,6,12,20,0,0,0,0
