Simulation,Days,Duplicate Stars,Daily Cards
1,1,2,6
1,2,14,8
1,3,20,4
1,4,28,6
1,5,32,2
1,6,71,22
1,7,83,6
1,8,96,6
1,9,107,4
1,10,121,8
1,11,130,4
1,12,147,8
1,13,152,2
1,14,167,8
1,15,171,2
1,16,175,2
1,17,200,16
1,18,212,6
1,19,227,6
1,20,241,8
1,21,255,6
1,22,284,14
1,23,298,8
1,24,302,2
1,25,332,14
1,26,349,6
1,27,357,4
1,28,384,12
1,29,396,6
1,30,398,6
1,31,410,8
1,32,418,4
1,33,420,2
1,34,432,6
1,35,455,12
1,36,473,10
1,37,490,8
1,38,494,2
1,39,510,8
1,40,522,6
1,41,526,2
1,42,559,14
1,43,571,6
1,44,588,8
1,45,588,6
1,46,594,4
1,47,606,8
1,48,614,6
1,49,638,12
1,50,659,12
1,51,663,2
1,52,682,12
1,53,711,14
1,54,724,6
1,55,736,6
1,56,758,8
1,57,770,6
1,58,774,2
1,59,786,6
1,60,807,8
